id,name,type,typeLabel,kind,camp,campLabel,chapters,chapterStart,chapterEnd,chapterCount,degree,score,isTrunk,aliases,description
entity:character_劉表,劉表,character,人物,entity,mixed,混合,6;7;8;15;16;17;18;21;23;28;31;32;33;34;35;36;38;39;40;41;42;44;53;54;56,6,56,25,82,282,true,劉景升|劉荊州|劉錶|景升|表,荊州刺史，受袁紹書信後派兵截孫堅奪璽。；荊州方面主君，與孫堅交戰，後以孫堅屍首交換黃祖。；荊州之主，因黃祖在孫氏營中而不忍棄之。
entity:character_孫策,孫策,character,人物,entity,wu,東吳,7;8;15;16;17;18;21;28;29;38;42;44,7,44,12,81,370,true,伯符|孫伯符|孫郎|小霸王|策,孫堅長子，隨父出戰，射殺陳生；孫堅死後主張取回父屍。；孫堅之子，換回黃祖後迎靈柩、罷戰回江東，居江都招賢納士。；孫堅之子，質玉璽借兵，連破劉繇、嚴白虎、王朗，平定江南。
entity:character_袁術,袁術,character,人物,entity,mixed,混合,3;5;6;7;8;9;12;14;15;16;17;18;19;20;21,3,21,15,59,336,true,公路|術|袁公|袁公路,披掛引兵列青瑣門外，後率兵突入宮庭殺宦官。；袁紹之弟，總督糧草，後不發孫堅糧草。；孫堅曾至其寨相見；曹操後建議其率南陽軍入武關。
entity:character_張遼,張遼,character,人物,entity,mixed,混合,11;12;16;17;18;19;20;21;25;26;27;28;30;31;32;33;42;46;48;49;50;53,11,53,22,57,220,true,張文遠|文遠|遼,呂布麾下健將，陣前截戰夏侯惇，後與臧霸阻擊曹操。；呂布部將，在濮陽城中夾攻曹操。；呂布部將，劉備突圍後追趕，被關羽敵住。
entity:character_曹仁,曹仁,character,人物,entity,wei,曹魏,5;6;11;12;14;17;19;22;29;30;31;35;36;40;41;42;50;51;58;59,5,59,20,56,210,true,仁|子孝,曹氏兄弟之一，引兵助曹操。；曹操部將，奉命迎擊郭汜。；曹操部將，向曹操告急兗州形勢，並受命圍攻兗州。
entity:character_魯肅,魯肅,character,人物,entity,mixed,混合,29;42;43;44;45;46;47;48;49;51;52;53;54;56;57;58,29,58,16,52,326,true,子敬|肅|魯子敬,周瑜推薦給孫權的臨淮人，有韜略，受孫權敬重並推薦諸葛瑾。；奉孫權命赴江夏吊喪探情，會見劉備、孔明，後與孔明赴柴桑。；東吳重臣，迎諸葛亮入江東，私下勸孫權不可降曹，並反駁降議。
entity:character_孫堅,孫堅,character,人物,entity,mixed,混合,2;5;6;7;8;15,2,15,6,45,132,true,堅|文台,吳郡富春人，率淮泗精兵接應朱儁，攻宛城斬趙弘，後討區星。；長沙太守，自願為前部攻汜水關，敗於華雄。；率軍先入洛陽，獲得傳國璽後遭袁紹與劉表追逼。
entity:character_李傕,李傕,character,人物,entity,mixed,混合,3;5;6;9;10;13;14;17;57,3,57,9,45,144,true,傕|李|李司馬,隨董卓帶兵往洛陽。；董卓部將，奉命與郭汜守汜水關。；董卓愛將，奉命向孫堅求親，後參與夾攻曹操。
entity:character_夏侯惇,夏侯惇,character,人物,entity,mixed,混合,5;6;10;11;12;14;16;17;18;19;25;26;27;28;30;31;33;39;40;41;42;48;51,5,51,23,43,196,true,元讓|惇,與夏侯淵各引壯士千人來助曹操。；曹操部將，先戰呂布，後刺死徐榮。；曹操部將，引薦典韋，後為攻徐州先鋒並奉命截殺邊讓。
entity:character_獻帝,獻帝,character,人物,entity,mixed,混合,8;9;10;13;14;20;24;25;59,8,59,9,43,140,true,主上|天子|帝|朕|陛下,漢帝，董卓入朝時與之共談。；漢帝，被王允等借名發密詔誅董；長安陷落後在宣平門質問李傕郭汜。；漢帝，被李傕、郭汜挾制，封授諸將官爵，並密詔馬騰、韓遂討賊。
entity:character_徐晃,徐晃,character,人物,entity,mixed,混合,13;14;19;25;26;27;30;31;32;33;46;48;50;56;57;58;59,13,59,17,42,170,true,公明|晃,楊奉部將，持大斧斬崔勇並助救駕。；先隨楊奉，斬李樂護駕；後經滿寵勸說投曹操。；曹操部將，追擊呂布並在南門擒陳宮。
entity:character_馬超,馬超,character,人物,entity,mixed,混合,10;57;58;59,10,59,4,42,258,true,孟起|超|馬兒|馬孟起|馬賊,馬騰之子，十七歲即在陣前刺王方、擒李蒙，後死戰殺退張濟。；馬騰長子，與馬騰商議曹操召命。；馬騰之子，統西涼軍起兵報仇，追擊曹操至割鬚棄袍。
entity:character_許褚,許褚,character,人物,entity,wei,曹魏,12;14;16;17;19;21;25;27;30;31;32;33;40;41;42;48;50;56;57;58;59,12,59,21,41,184,true,仲康|虎侯|虎痴|虎癡|褚|許仲康|許諸,譙國譙縣壯士，擒何儀，與典韋交戰，後被曹操招降拜都尉。；曹操將領，與徐晃交鋒，並斬李暹、李別。；曹操部將，淯水敗後與諸將到曹操處。
entity:character_孫乾,孫乾,character,人物,entity,mixed,混合,12;14;16;18;19;21;22;24;26;27;28;31;34;35;36;39;40;41;42;51;54;57,12,57,22,40,186,true,乾|孫幹|孫韓,劉備領徐州後任輔佐。；劉備部下，建議出兵前先定守城之人。；劉備幕僚，建議向呂布告急，又建議棄小沛投曹操。
entity:character_蔡瑁,蔡瑁,character,人物,entity,mixed,混合,6;7;34;35;39;40;41;45;46,6,46,9,40,134,true,瑁|蔡都督,劉表部下，與黃蓋交戰後退走。；劉表後妻之兄，反對蒯良守策，領軍出襄陽而敗。；蔡夫人之弟，屢次設計謀害劉備。
entity:faction_曹操勢力,曹操勢力,faction,勢力,entity,wei,曹魏,10;18;19;20;21;23;24;25;26;27;28;29;30;31;34;35;36;37;42;43;44;46;47;48;51;56;57;58;60,10,60,29,39,194,true,丞相部下|中國|北兵|北軍|操之心腹|操軍|曹兵|曹家|曹家兵|曹操文武|曹操部下|曹操門下|曹方|曹營|曹瞞黨|曹軍|許昌方面|許都曹操,曹操在兗州聚集的謀臣猛將與軍隊。；曹操統領的軍政勢力。；曹操所統軍政勢力，攻徐州、圍下邳並受降。
entity:character_曹洪,曹洪,character,人物,entity,wei,曹魏,5;6;11;12;14;17;22;26;30;31;32;33;40;41;48;50;51;56;57;58;59,5,59,21,38,178,true,子廉|洪,曹氏兄弟之一，引兵助曹操。；救起落馬被擒的曹操，讓馬並負操渡水。；曹操部將，隨曹操攻西寨，後與呂虔迎戰張遼、臧霸。
entity:character_荀彧,荀彧,character,人物,entity,mixed,混合,10;11;12;14;16;17;18;19;20;21;23;24;25;26;30;31;34;37;40;60,10,60,20,38,174,true,彧|文若,潁川潁陰人，棄袁紹投曹操，被任為行軍司馬，並薦程昱。；與程昱設計死守鄄城等三處，使其未被呂布攻破。；曹操謀士，勸曹操勿急攻徐州，應固本兗州。
entity:location_荊州,荊州,location,地點,entity,mixed,混合,6;7;18;23;28;31;32;34;35;36;38;39;40;41;42;43;46;50;51;52;53;54;55;56;57;58;60,6,60,27,38,184,true,荊州城|荊州城池|荊楚|荊襄|荊襄九郡,劉表任刺史之地，袁紹致書請其截孫堅。；劉表所據地，也是袁術信中許孫堅可取之地。；劉表勢力所在，賈詡勸劉表回守。
entity:character_甘寧,甘寧,character,人物,entity,mixed,混合,38;39;44;45;46;47;49;50;51;56,38,56,10,37,132,true,寧|甘興乃|甘興霸|興霸|錦帆賊,原黃祖部將，後降孫權，獻破黃祖之策，並在沔口斬鄧龍。；東吳將領，斬黃祖、為蘇飛求赦，後奉命鎮守夏口。；江東將領，與呂蒙等來見周瑜議曹操事。
entity:character_程昱,程昱,character,人物,entity,wei,曹魏,10;11;12;14;16;19;20;21;22;24;25;27;31;32;33;36;37;48;49;50;56,10,56,21,35,172,true,仲德|昱,東郡東阿賢士，由荀彧薦給曹操，又薦郭嘉。；與荀彧共同守住鄄城、東阿、範縣。；曹操謀士，建議趁勝進兵取濮陽。
entity:faction_東吳,東吳,faction,勢力,entity,wu,東吳,29;39;40;42;43;44;45;46;47;49;50;51;52;53;54;56;57;58;60,29,60,19,34,144,true,全吳|南軍|吳|吳中|吳侯勢力|吳兵|吳會|孫權勢力|孫權軍|孫氏|東吳兵|東吳軍馬|江南|江左|江東|江東勢力,孫策、孫權據有的江東政權。；孫權所領勢力，攻黃祖後在江岸、水軍方面加強佈防。；江東孫權勢力，被蔡瑁用作阻劉琦離任的理由。
entity:character_陳宮,陳宮,character,人物,entity,mixed,混合,4;5;10;11;12;13;14;15;16;17;18;19,4,19,12,34,134,true,公檯|公臺|宮|陳縣令,中牟縣令，識破曹操後感其忠義，棄官隨曹操逃亡，後因呂伯奢事欲殺曹操。；棄曹操而往東郡。；東郡從事，與陶謙交好，星夜見曹操勸止屠戮徐州百姓。
entity:character_李典,李典,character,人物,entity,mixed,混合,5;6;12;14;16;18;22;24;27;30;31;32;33;35;36;39;40;42;48;50;53,5,53,21,33,168,true,典|曼成,來投曹操，留為帳前吏。；曹操部將，隨曹操追董卓。；曹操部將，參與濮陽、羊山、兗州諸戰，擒黃劭。
entity:character_馬騰,馬騰,character,人物,entity,lords,群雄,5;10;20;21;23;24;48;57;58;59,5,59,10,32,122,true,先君|壽成|老將軍|西涼太守馬騰,西涼太守，諸侯之一。；西涼太守，受密詔為徵西將軍，與韓遂起兵討李傕、郭汜。；西涼太守，讀血詔後承諾統西涼兵作外應。
entity:character_黃蓋,黃蓋,character,人物,entity,wu,東吳,5;6;7;15;43;44;46;47;49;50;55;56,5,56,12,32,270,true,先鋒黃蓋|公覆|蓋|黃公覆,孫堅四將之一。；孫堅部將，與蔡瑁交戰並擊退之。；孫堅麾下將領，奉命準備戰船，後生擒黃祖並建議換回孫堅屍首。
entity:character_郭汜,郭汜,character,人物,entity,mixed,混合,3;5;6;9;10;13;14;17;57,3,57,9,31,116,true,汜|郭|郭阿多,隨董卓帶兵往洛陽。；董卓部將，奉命與李傕守汜水關。；董卓部將，驅民西遷並於滎陽從右路攻曹操。
entity:character_張繡,張繡,character,人物,entity,mixed,混合,16;17;18;21;23,16,23,5,29,96,true,繡,張濟之侄，統其眾屯宛城，先降曹操，後因鄒氏之事夜襲曹營。；依托劉表反叛，於南陽抗曹。；據城抗曹，採賈詡之計，與劉表聯合追擊曹操。
entity:character_王允,王允,character,人物,entity,mixed,混合,3;4;8;9,3,9,4,29,92,true,允|司徒|王司徒,司徒，迎駕還京，後勸董卓廢立另日再議。；司徒，受袁紹密書，設宴與公卿商議誅董，借七寶刀給曹操。；朝廷司徒，設連環計，先許貂蟬於呂布，後獻於董卓，以離間二人。
entity:character_程普,程普,character,人物,entity,mixed,混合,5;6;7;15;29;39;44;45;49;50;51;52;53;55;56,5,56,15,29,136,true,德謀|普|程德謀,孫堅四將之一，刺殺胡軫。；孫堅部將，辨識傳國璽並在袁紹逼問時護主。；孫堅麾下將領，救孫堅脫圍，攻黃祖，後保護孫策並刺死呂公。
entity:character_陳登,陳登,character,人物,entity,mixed,混合,11;12;14;16;17;19;21;22;24,11,24,9,29,112,true,元龍|登|陳元龍,廣陵人，受陶謙派遣往青州田楷處求救。；徐州臣屬，參與陶謙臨終議事，後為劉備幕官。；輔助張飛守徐州，曾勸止張飛鞭曹豹。
entity:faction_劉備勢力,劉備勢力,faction,勢力,entity,mixed,混合,18;19;21;24;25;27;28;31;34;35;37;42;43;44;54;56;57;58;60,18,60,19,28,132,true,劉備一方|劉備手下|劉豫州一方|劉豫州軍|新野軍|玄德本部|玄德軍|玄德部眾|皇叔一方|荊州劉備軍|荊州方面|荊州軍,劉備與關羽、張飛等守小沛的兵馬。；劉備、關羽、張飛及糜竺、孫乾等所屬勢力。；劉備、關羽、張飛及徐州舊部等所屬勢力。
entity:character_劉琦,劉琦,character,人物,entity,mixed,混合,34;35;39;40;41;42;43;45;49;52;53;54,34,54,12,28,122,true,令侄|公子|公子劉琦|大公子|小侄|琦,劉表長子，襄陽會時與劉琮出迎劉備。；劉表長子；奉命到新野請罪，並向劉備求教如何避開繼母之禍。；劉表之子，因繼母不容而向劉備、孔明求救，後鎮守江夏。
entity:character_於禁,於禁,character,人物,entity,mixed,混合,10;11;14;16;17;22;26;27;31;33;39;40;41;45;46;48;58;59,10,59,18,28,146,true,文則|禁,泰山巨平人，率數百人投曹操，被任為點軍司馬。；曹操部將，先在徐州外迎戰劉備、張飛，後獻夜襲呂布西寨之策。；曹操定許都後任校尉。
entity:character_何進,何進,character,人物,entity,han,漢室,1;2;3,1,3,3,27,84,true,何國舅|大將軍|大將軍何進|進,大將軍，奉詔調兵平黃巾。；何後之兄，受靈帝召入宮，謀誅宦官並扶立太子辯。；召外兵入京誅宦，入長樂宮後被張讓等殺害。
entity:character_太史慈,太史慈,character,人物,entity,mixed,混合,11;15;44;45;49;50;53,11,53,7,27,100,true,子義|東萊太史慈,東萊黃縣人，受母命救孔融，突圍赴平原請劉備，並參與破管亥。；東萊猛將，先從劉繇，與孫策神亭酣鬥，後歸附孫策。；江東將領，被周瑜編為第四隊。
entity:character_袁譚,袁譚,character,人物,entity,mixed,混合,24;30;31;32;33,24,33,5,27,92,true,譚|顯思,袁紹長子、青州刺史，接待並護送劉備。；袁紹部下，奉命分兵救鄴郡。；袁紹長子，出守青州，受辛評、郭圖支持。
entity:character_公孫瓚,公孫瓚,character,人物,entity,mixed,混合,2;5;6;7;18;21;28,2,28,7,26,98,true,瓚,表陳玄德前功，薦其為別部司馬、守平原縣令。；北平太守，領兵會盟，後親戰呂布敗走。；認為袁紹不能成事，率眾北行並任玄德為平原相。
entity:character_劉璋,劉璋,character,人物,entity,mixed,混合,16;21;38;56;57;59;60,16,60,7,26,98,true,劉季玉|劉益州|季玉,陳登轉述曹操話中列為益州勢力。；益州宗室，劉備提為英雄候選，被曹操否定。；益州之主，劉備稱其為漢室宗親。
entity:character_糜竺,糜竺,character,人物,entity,mixed,混合,11;12;13;14;16;18;19;21;22;24;28;39;40;41;45;49;52;56,11,56,18,26,142,true,子仲|竺|糜子仲,東海朐縣人，陶謙別駕從事，獻分途求援之計，親赴北海求孔融救徐州。；徐州臣屬，勸陶謙將徐州讓給劉備，後輔佐劉備。；勸劉備不可收留呂布。
entity:character_黃祖,黃祖,character,人物,entity,mixed,混合,7;8;18;23;38;39,7,39,6,26,94,true,祖,劉表部將，領江夏兵迎孫堅，屢敗後被黃蓋生擒。；劉表心腹，在孫氏營中，後由孫策換回。；劉表部將，被命堅守隘口。
entity:character_徐庶,徐庶,character,人物,entity,mixed,混合,36;37;39;41;48,36,48,5,25,88,true,元直|單福|字符直|庶|徐元直,潁川人，化名單福輔佐劉備破曹仁；因母被曹操設計而離去，臨別推薦諸葛亮。；原事劉備，因母書赴許昌；徐母死後葬母守墓，不受曹操所賜。；向曹操稱讚諸葛亮才能，勸夏侯惇勿輕敵。
entity:character_袁尚,袁尚,character,人物,entity,mixed,混合,30;31;32;33,30,33,4,25,84,true,幼子|顯甫,袁紹幼子，袁軍潰敗後隨袁紹奔走。；袁紹三子，袁紹所愛，倉亭陣前射殺史渙，後暫掌軍事並請戰。；袁紹死後被立為主，與袁譚爭冀州，屢敗於曹操。
entity:character_賈詡,賈詡,character,人物,entity,han,漢室,9;10;13;14;16;17;18;23;30;59,9,59,10,25,108,true,文和|詡|詬|謀士|賈文和|賈翊|賈詔|賈詬,李傕等謀士，勸其聚眾犯長安，勿棄軍單逃。；李傕一方謀士，獻堅守耗糧、盩厔防守與宴殺樊稠等計。；奉李傕監押車駕，後暗助獻帝並獻以爵賞誘李傕之策。
entity:character_韓遂,韓遂,character,人物,entity,mixed,混合,10;21;23;48;57;58;59,10,59,7,25,96,true,遂|韓將軍,并州刺史，受密詔為鎮西將軍，與馬騰共同討賊。；劉備論英雄時提出的人物，被曹操視為不足掛齒。；在董承夢中計策裡與馬騰、西涼軍同被提及。
entity:character_龐統,龐統,character,人物,entity,shu,劉蜀,35;36;47;48;57;60,35,60,6,25,235,true,士元|雛|鳳雛|鳳雛先生|龐士元,本章被提及的人物；水鏡先生愛其才並呼為弟。；水鏡先生提及的未出山賢士稱號。；襄陽人，被稱為鳳雛。
entity:character_張昭,張昭,character,人物,entity,wu,東吳,15;29;38;39;43;44;53;55;56;58,15,58,10,22,102,true,子佈|張子佈|張子布|昭,彭城名士，被孫策聘為長史兼撫軍中郎將。；孫策、孫權重臣，屢諫孫策，並於孫策死後輔助孫權理政。；輔佐孫權，參與遣子入朝與伐黃祖的議論。
entity:character_楊奉,楊奉,character,人物,entity,mixed,混合,13;14;17,13,17,3,22,74,true,楊將軍,騎都尉，先謀殺李傕失敗，後多次率軍救護獻帝。；原護駕將領，後與韓暹攔阻遷都，敗後投奔袁術。；袁術降將，七路之一攻浚山，與韓暹反戈助呂布，後被劉備殺死。
entity:character_韓當,韓當,character,人物,entity,mixed,混合,5;6;7;15;29;44;45;48;49;50;51;55;56,5,56,13,22,114,true,義公,孫堅四將之一。；孫堅部將，在袁紹與孫堅爭璽時拔刀護衛。；孫堅麾下將領，救孫堅脫圍、攻黃祖，並在旗竿折斷時勸孫堅班師。
entity:character_董承,董承,character,人物,entity,mixed,混合,13;14;20;21;23;24;57,13,57,7,21,88,true,國戚董承|國舅|承|董國舅|車騎將軍董承,國戚，率軍救駕，與楊奉誓斬李傕、郭汜。；朝臣，建議獻帝往山東避李傕郭汜；後受封列侯。；受獻帝袍帶血詔，聯絡王子服、種輯、吳碩、吳子蘭、馬騰共謀誅曹。
entity:character_郭嘉,郭嘉,character,人物,entity,wei,曹魏,10;11;12;14;16;17;18;19;21;24;29;32;33;34,10,34,14,21,116,true,嘉|奉孝|郭公|郭奉孝,荀彧鄉人，程昱稱其為當今賢士；後薦劉曄。；曹操謀士，勸曹操退徐州、復兗州。；曹操謀士，在曹操脫險後催促速用計。
entity:character_夏侯淵,夏侯淵,character,人物,entity,wei,曹魏,5;6;12;14;18;19;30;31;40;42;48;56;57;58;59,5,59,15,20,118,true,,夏侯惇族弟，引壯士來會曹操。；曹操部將，於滎陽迎敵並救援曹操。；曹操部將，隨曹操入濮陽並救曹操出火。
entity:character_審配,審配,character,人物,entity,mixed,混合,13;22;26;30;31;32,13,32,6,20,82,true,審正南|正南,袁紹謀士，主張助曹操以防呂布。；袁紹任命的統軍之一。；袁紹謀士，與郭圖一同進讒劉備。
entity:location_徐州,徐州,location,地點,entity,mixed,混合,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;28,10,28,18,20,112,true,徐州城|徐郡,陶謙治所，曹操因父仇發兵攻打。；陶謙所守州城，為曹操攻圍，後劉備入城相助。；陶謙讓與劉備之州，也是曹操欲攻之地。
entity:character_典韋,典韋,character,人物,entity,wei,曹魏,10;11;12;14;16;17;18;58,10,58,8,19,88,true,古之惡來|韋,陳留勇士，由夏侯惇引見曹操，因勇力被任帳前都尉並受賜。；曹操部將，在重圍中以雙鐵戟、短戟殺散追兵，救出曹操。；曹操部將，多次衝殺救主，後與許褚大戰。
entity:character_吳國太,吳國太,character,人物,entity,mixed,混合,43;44;54;55,43,55,4,19,72,true,吳夫人|國太|母親,孫權內宅長輩，見孫權寢食不安而詢問其憂。；勸孫權遵從孫策遺言，請周瑜決外事。；孫權母輩人物，愛護孫夫人，在甘露寺看中劉備並喝退伏兵。
entity:character_孔融,孔融,character,人物,entity,mixed,混合,5;11;20;22;23;40,5,40,6,19,80,true,孔北海|孔文舉|文舉,北海太守，諸侯之一。；北海太守，與陶謙交厚；先遭管亥圍城，後請劉備援救徐州。；北海太守，在許都為楊彪向曹操進諫。
entity:character_張濟,張濟,character,人物,entity,lords,群雄,3;5;9;10;13;16,3,16,6,18,78,true,濟,隨董卓帶兵往洛陽。；隨董卓守虎牢關。；董卓部將之一，後與樊稠分路進犯長安。
entity:character_朱儁,朱儁,character,人物,entity,mixed,混合,1;2;10;13,1,13,4,18,70,true,儁,中郎將，與皇甫嵩合兵火攻長社。；漢軍將領，收玄德三人，討張寶與宛城黃巾餘黨，後封車騎將軍、河南尹。；被宣入朝封太僕，同領朝政；後保舉曹操討青州黃巾。
entity:character_李儒,李儒,character,人物,entity,lords,群雄,3;4;5;6;7;8;9,3,9,7,18,82,true,儒,董卓謀士，建議上表、暫避呂布並推動廢立。；董卓謀士，勸止妄殺袁紹，宣讀廢立策文，奉命入宮弒帝。；董卓謀士，接告急文書並獻策。
entity:character_陶謙,陶謙,character,人物,entity,mixed,混合,5;10;11;12,5,12,4,18,70,true,府君|恭祖|陶使君|陶恭祖,徐州刺史，諸侯之一。；徐州太守，款待曹嵩並派都尉護送；曹操認為他縱兵殺父而攻徐州。；徐州主事者，被曹操攻圍，遣糜竺、陳登求援，後多次欲讓徐州於劉備。
entity:character_周泰,周泰,character,人物,entity,wu,東吳,15;44;48;49;50;51;55,15,55,7,17,80,true,幼平|週泰,九江下蔡人，投孫策，後在宣城捨身救孫權。；江東將領，被周瑜編為第二隊。；江東將領，與韓當迎戰，躍上敵船斬張南。
entity:location_小沛,小沛,location,地點,entity,mixed,混合,11;12;13;14;15;16;17;18;19;22;24,11,24,11,17,78,true,沛城|沛縣,徐州近邑，劉備拒受徐州後暫駐於此。；劉備領徐州後調入城中的軍馬來源。；劉備用以安置呂布的近邑。
entity:character_樂進,樂進,character,人物,entity,mixed,混合,5;6;11;12;14;16;26;31;32;33;42;48;53,5,53,13,17,104,true,文謙|進,來投曹操，留為帳前吏。；曹操部將，隨曹操追董卓。；曹操部將，與臧霸交戰，後與於禁雙戰呂布。
entity:character_荀攸,荀攸,character,人物,entity,mixed,混合,10;14;18;19;23;26;30;32;33;34;41;42;46;48;57;59,10,59,16,17,116,true,公達|攸|荀公達,荀彧之侄，曾拜黃門侍郎，與叔同投曹操，被任行軍教授。；曹操定許都後任軍師。；曹操謀士，指出呂布若結袁術將難圖，支持速攻。
entity:character_蔡夫人,蔡夫人,character,人物,entity,mixed,混合,34;35;40;41,34,41,4,17,68,true,蔡氏,劉表夫人，竊聽劉表與劉備談話，並與蔡瑁謀害劉備。；劉琦繼母；為蔡瑁哭求免死，也被劉琦稱常懷謀害之心。；劉表夫人，與蔡瑁、張允議立劉琮並獻荊州。
entity:character_張松,張松,character,人物,entity,mixed,混合,60,60,60,1,16,54,true,張別駕|張永年|永年,益州別駕，先為劉璋出使許都，後轉向劉備獻西川圖，與法正、孟達密議獻益州。
entity:character_文醜,文醜,character,人物,entity,mixed,混合,5;6;7;22;26;28,5,28,6,16,74,true,河北名將文醜,袁紹上將，當時未至。；袁紹部將，在爭璽衝突中拔劍。；袁紹麾下名將，殺關純，擊敗公孫瓚，與趙雲大戰。
entity:character_紀靈,紀靈,character,人物,entity,mixed,混合,14;15;16;17;21,14,21,5,16,70,true,,袁術部將，持三尖刀，在盱眙與關羽交戰。；袁術將領，與高順交涉所許糧馬金帛，後參與袁術議事。；袁術部將，率軍攻小沛，參與呂布轅門射戟解和。
entity:location_長安,長安,location,地點,entity,lords,群雄,6;7;8;9;10;13;17;19;58;59,6,59,10,16,72,true,京城|長安城,董卓遷帝西幸的目的地。；董卓所在，消息傳入後派人調停。；董卓所在都城，郿塢仿其規模修築。
