id,source,target,relationType,category,categoryLabel,chapters,chapterStart,chapterEnd,weight,confidence,description,kind
rel:000073,entity:character_趙弘,entity:location_宛城,復奪,military,軍事衝突,2,2,2,1,0.99,趙弘乘朱儁暫退，復奪宛城。,entity_relation
rel:000074,entity:character_孫堅,entity:character_朱儁,接應,other,其他關係,2,2,2,1,0.99,孫堅率軍前來接應朱儁。,entity_relation
rel:000075,entity:character_孫堅,entity:character_趙弘,擊殺,military,軍事衝突,2,2,2,1,0.99,孫堅奪趙弘槊，刺弘下馬。,entity_relation
rel:000076,entity:character_劉備,entity:character_孫仲,射殺,military,軍事衝突,2,2,2,1,0.99,玄德在北門張弓一箭射中孫仲。,entity_relation
rel:000077,entity:character_朱儁,entity:character_孫堅,表奏功勞,other,其他關係,2,2,2,1,0.99,朱儁上表奏孫堅功。,entity_relation
rel:000078,entity:character_朱儁,entity:character_劉備,表奏功勞,other,其他關係,2,2,2,1,0.99,朱儁上表奏劉備功。,entity_relation
rel:000079,entity:character_張鈞,entity:character_靈帝,進諫,strategy,謀略建議,2,2,2,1,0.99,張鈞入朝見帝，指出黃巾之亂源於十常侍。,entity_relation
rel:000080,entity:character_張鈞,entity:strategy_斬十常侍,主張,strategy,謀略建議,2,2,2,1,0.99,張鈞奏請斬十常侍、懸首南郊。,entity_relation
rel:000081,entity:character_督郵,entity:character_劉備,侮辱誣害,other,其他關係,2,2,2,1,0.99,督郵輕慢玄德，又勒縣吏指稱縣尉害民。,entity_relation
rel:000082,entity:character_張飛,entity:character_督郵,鞭打,other,其他關係,2,2,2,1,0.99,張飛縛督郵於馬樁並用柳條鞭打。,entity_relation
rel:000083,entity:character_劉備,entity:character_張飛,喝止,other,其他關係,2,2,2,1,0.99,玄德見督郵求救，急喝張飛住手。,entity_relation
rel:000084,entity:character_關羽,entity:character_劉備,建議棄官,strategy,謀略建議,2,2,2,1,0.98,關公勸玄德殺督郵、棄官歸鄉、別圖遠大。,entity_relation
rel:000085,entity:character_劉備,entity:character_劉恢,投奔,other,其他關係,2,2,2,1,0.99,玄德與關、張往代州投劉恢。,entity_relation
rel:000086,entity:character_劉恢,entity:character_劉備,收留,other,其他關係,2,2,2,1,0.99,劉恢因玄德為漢室宗親而留匿在家。,entity_relation
rel:000087,entity:character_趙忠,entity:faction_十常侍,成員,command,陣營統率,2,2,2,1,0.98,趙忠屬十常侍集團。,entity_relation
rel:000088,entity:faction_十常侍,entity:character_皇甫嵩,奏罷官職,office,官職任命,2,2,2,1,0.98,趙忠等因皇甫嵩不肯給金帛，奏罷其官。,entity_relation
rel:000089,entity:faction_十常侍,entity:character_朱儁,奏罷官職,office,官職任命,2,2,2,1,0.98,十常侍索金帛不成，奏罷朱儁官。,entity_relation
rel:000090,entity:faction_十常侍,entity:faction_漢朝廷,隱匿表章,other,其他關係,2,2,2,1,0.98,十常侍藏匿各地告急表章不奏。,entity_relation
rel:000091,entity:character_劉陶,entity:character_靈帝,進諫,strategy,謀略建議,2,2,2,1,0.99,劉陶在後園痛諫靈帝不應與閹宦共飲。,entity_relation
rel:000092,entity:faction_十常侍,entity:character_劉陶,謀殺,military,軍事衝突,2,2,2,1,0.95,十常侍在獄中謀殺劉陶。,entity_relation
rel:000093,entity:character_劉恢,entity:character_劉虞,薦舉劉備,other,其他關係,2,2,2,1,0.99,劉恢以書薦玄德見劉虞。,entity_relation
rel:000094,entity:character_劉虞,entity:character_劉備,任命,office,官職任命,2,2,2,1,0.99,劉虞令玄德為都尉，率兵抵賊巢。,entity_relation
rel:000095,entity:faction_漢朝廷,entity:character_劉備,赦免,other,其他關係,2,2,2,1,0.99,朝廷赦免玄德鞭督郵之罪。,entity_relation
rel:000096,entity:character_公孫瓚,entity:character_劉備,表薦,other,其他關係,2;7,2,7,2,0.995,公孫瓚表陳玄德前功，薦其為別部司馬、平原縣令。；公孫瓚表薦劉備為平原相。,entity_relation
rel:000097,entity:character_劉備,entity:location_平原,治理,other,其他關係,2,2,2,1,0.98,玄德在平原重整錢糧軍馬。,entity_relation
rel:000098,entity:character_靈帝,entity:character_何進,召見,other,其他關係,2,2,2,1,0.99,靈帝病篤，召大將軍何進入宮商議後事。,entity_relation
rel:000099,entity:character_何後,entity:character_王美人,鴆殺,military,軍事衝突,2,2,2,1,0.99,何後嫉妒王美人，鴆殺之。,entity_relation
rel:000100,entity:character_王美人,entity:character_皇子協,生母,other,其他關係,2,2,2,1,0.99,王美人生皇子協。,entity_relation
rel:000101,entity:character_何後,entity:character_皇子辯,生母,other,其他關係,2,2,2,1,0.99,何後生皇子辯。,entity_relation
rel:000102,entity:character_皇子協,entity:character_董太后,養於宮中,other,其他關係,2,2,2,1,0.99,皇子協養於董太后宮。,entity_relation
rel:000103,entity:character_董太后,entity:character_皇子協,支持立儲,other,其他關係,2,2,2,1,0.99,董太后勸靈帝立皇子協為太子。,entity_relation
rel:000104,entity:character_蹇碩,entity:character_何進,謀殺,military,軍事衝突,2,2,2,1,0.99,蹇碩主張若立協，先誅何進以絕後患。,entity_relation
rel:000105,entity:character_何進,entity:faction_宦官,欲誅,other,其他關係,2,2,2,1,0.99,何進回私宅召大臣，欲盡誅宦官。,entity_relation
rel:000106,entity:character_曹操,entity:character_何進,諫慎,strategy,謀略建議,2,2,2,1,0.96,曹操指出宦官勢廣，機不密必有滅族之禍。,entity_relation
rel:000107,entity:character_蹇碩,entity:strategy_秘不發喪矯詔入宮,參與密謀,other,其他關係,2,2,2,1,0.96,蹇碩與十常侍秘不發喪、矯詔召何進。,entity_relation
rel:000108,entity:faction_十常侍,entity:strategy_秘不發喪矯詔入宮,參與密謀,other,其他關係,2,2,2,1,0.96,十常侍與蹇碩商議秘不發喪、矯詔召何進。,entity_relation
rel:000109,entity:character_袁紹,entity:army_御林軍五千,請用,other,其他關係,2,2,2,1,0.98,袁紹請藉精兵五千斬關入內冊立新君。,entity_relation
rel:000110,entity:character_何進,entity:army_御林軍五千,點兵,other,其他關係,2,2,2,1,0.99,何進大喜，點御林軍五千。,entity_relation
rel:000111,entity:character_何進,entity:character_皇子辯,扶立,other,其他關係,2,2,2,1,0.99,何進率大臣在靈帝柩前扶立太子辯。,entity_relation
rel:000112,entity:character_袁紹,entity:character_蹇碩,收捕,other,其他關係,2,2,2,1,0.99,百官呼拜後，袁紹入宮收蹇碩。,entity_relation
rel:000113,entity:character_郭勝,entity:character_蹇碩,殺害,military,軍事衝突,2,2,2,1,0.99,蹇碩逃入禦園，被中常侍郭勝所殺。,entity_relation
rel:000114,entity:character_袁紹,entity:character_何進,勸誅宦官,other,其他關係,2,2,2,1,0.99,袁紹勸何進乘勢盡誅中官。,entity_relation
rel:000115,entity:character_張讓,entity:character_何後,求庇護,other,其他關係,2,2,2,1,0.98,張讓等事急，入告何後，稱謀害何進只蹇碩一人。,entity_relation
rel:000116,entity:character_何後,entity:faction_宦官,庇護,other,其他關係,2,2,2,1,0.97,何後勸何進不可聽信人言盡誅宦官。,entity_relation
rel:000117,entity:character_董太后,entity:character_皇子協,封爵,office,官職任命,2,2,2,1,0.99,董太后降旨封皇子協為陳留王。,entity_relation
rel:000118,entity:character_董太后,entity:character_董重,任封,office,官職任命,2,2,2,1,0.99,董太后降旨封董重為驃騎將軍。,entity_relation
rel:000119,entity:character_張讓,entity:faction_漢朝廷,預朝政,other,其他關係,2,2,2,1,0.98,董太后使張讓等共同參預朝政。,entity_relation
rel:000120,entity:character_何後,entity:character_董太后,勸退政事,other,其他關係,2,2,2,1,0.96,何太后設宴勸董太后婦人不宜參預朝政。,entity_relation
rel:000121,entity:character_何進,entity:character_董太后,遷置,other,其他關係,2,2,2,1,0.98,何進使廷臣奏董太后應遷河間。,entity_relation
rel:000122,entity:character_何進,entity:character_董重,圍府追印,military,軍事衝突,2,2,2,1,0.98,何進點禁軍圍董重府宅，追索印瑤。,entity_relation
rel:000123,entity:character_董重,entity:character_董太后,同黨依附,other,其他關係,2,2,2,1,0.86,董重為董太后所封，董後一枝被廢後自刎。,entity_relation
rel:000124,entity:character_張讓,entity:strategy_結構何苗遮蔽何太后,施行,other,其他關係,2,2,2,1,0.98,張讓以金珠玩好結構何苗與舞陽君。,entity_relation
rel:000125,entity:character_段珪,entity:strategy_結構何苗遮蔽何太后,施行,other,其他關係,2,2,2,1,0.98,段珪與張讓同用金珠玩好結構何苗、舞陽君。,entity_relation
rel:000126,entity:strategy_結構何苗遮蔽何太后,entity:character_何苗,拉攏對象,other,其他關係,2,2,2,1,0.99,何苗被張讓、段珪結構。,entity_relation
rel:000127,entity:character_何進,entity:character_董太后,暗殺,military,軍事衝突,2,2,2,1,0.99,六月，何進暗使人鴆殺董太后於河間驛庭。,entity_relation
rel:000128,entity:character_袁紹,entity:strategy_斬十常侍,勸行,other,其他關係,2,2,2,1,0.99,袁紹勸何進乘此時誅閹宦。,entity_relation
rel:000129,entity:character_何苗,entity:character_何後,進言阻止,strategy,謀略建議,2,2,2,1,0.98,何苗向何後說何進欲殺十常侍是取亂之道。,entity_relation
rel:000130,entity:character_何後,entity:character_何進,不允誅宦,other,其他關係,2,2,2,1,0.99,何後以中官統領禁省為漢家故事，不准何進殺舊臣。,entity_relation
rel:000131,entity:character_袁紹,entity:strategy_召四方英雄勒兵來京,提出,strategy,謀略建議,2,2,2,1,0.99,袁紹建議召四方英雄勒兵來京，迫太后從命。,entity_relation
rel:000132,entity:character_何進,entity:strategy_召四方英雄勒兵來京,採納,strategy,謀略建議,2,2,2,1,0.98,何進稱袁紹召兵之計大妙。,entity_relation
rel:000133,entity:character_陳琳,entity:strategy_召四方英雄勒兵來京,反對,other,其他關係,2,2,2,1,0.99,陳琳以掩目捕燕雀作比，反對召外兵入京。,entity_relation
rel:000134,entity:character_曹操,entity:character_何進,諫言,strategy,謀略建議,3,3,3,1,0.98,曹操勸何進不要召外兵誅宦，料其必敗。,entity_relation
rel:000135,entity:character_董卓,entity:location_洛陽,行軍,place,地點事件,3,3,3,1,0.99,董卓帶李傕等提兵往洛陽進發。,entity_relation
rel:000136,entity:character_牛輔,entity:location_陝西,駐守,other,其他關係,3,3,3,1,0.95,牛輔奉董卓安排守陝西。,entity_relation
rel:000137,entity:character_董卓,entity:character_李傕,統帶,other,其他關係,3,3,3,1,0.9,李傕隨董卓提兵進發洛陽。,entity_relation
rel:000138,entity:character_董卓,entity:character_郭汜,統帶,other,其他關係,3,3,3,1,0.9,郭汜隨董卓提兵進發洛陽。,entity_relation
rel:000139,entity:character_董卓,entity:character_張濟,統帶,other,其他關係,3,3,3,1,0.9,張濟隨董卓提兵進發洛陽。,entity_relation
rel:000140,entity:character_董卓,entity:character_樊稠,統帶,other,其他關係,3,3,3,1,0.9,樊稠隨董卓提兵進發洛陽。,entity_relation
rel:000141,entity:character_李儒,entity:character_董卓,謀士,other,其他關係,3,3,3,1,1.0,李儒為董卓出謀劃策。,entity_relation
rel:000142,entity:character_盧植,entity:character_何進,諫阻,strategy,謀略建議,3,3,3,1,0.95,盧植也諫何進勿信董卓。,entity_relation
rel:000143,entity:character_陳琳,entity:character_何進,諫阻,strategy,謀略建議,3,3,3,1,0.98,陳琳勸何進不要奉詔入宮。,entity_relation
rel:000144,entity:character_袁紹,entity:character_何進,護送,place,地點事件,3,3,3,1,0.96,袁紹與曹操帶劍護送何進至長樂宮前。,entity_relation
rel:000145,entity:character_張讓,entity:character_何進,殺害,military,軍事衝突,3,3,3,1,1.0,張讓等圍殺何進。,entity_relation
rel:000146,entity:character_段珪,entity:character_何進,殺害參與,military,軍事衝突,3,3,3,1,0.93,段珪與張讓迎出圍住何進。,entity_relation
rel:000147,entity:character_袁術,entity:faction_十常侍,攻殺,military,軍事衝突,3,3,3,1,0.98,袁術入宮後見宦官即殺。,entity_relation
rel:000148,entity:character_盧植,entity:character_何太后,救援,military,軍事衝突,3,3,3,1,0.99,盧植喝退段珪，救何太后免難。,entity_relation
rel:000149,entity:character_吳匡,entity:character_何進,部將,command,陣營統率,3,3,3,1,1.0,吳匡是何進部將。,entity_relation
rel:000150,entity:character_吳匡,entity:character_何苗,殺害參與,military,軍事衝突,3,3,3,1,0.95,吳匡號召眾人殺何苗。,entity_relation
rel:000151,entity:character_何苗,entity:character_何進,兄弟,kinship,親族婚姻,3,3,3,1,0.82,正文以謀兄指何苗與何進的兄弟關係。,entity_relation
rel:000152,entity:character_曹操,entity:character_何太后,請權攝大事,other,其他關係,3,3,3,1,0.98,曹操請何太后暫攝大事。,entity_relation
rel:000153,entity:character_張讓,entity:character_少帝,劫持,other,其他關係,3,3,3,1,0.98,張讓劫擁少帝北走。,entity_relation
rel:000154,entity:character_段珪,entity:character_陳留王,劫持,other,其他關係,3,3,3,1,0.98,段珪與張讓劫持陳留王。,entity_relation
rel:000155,entity:character_閔貢,entity:character_段珪,殺害,military,軍事衝突,3,3,3,1,1.0,閔貢追上段珪並殺之。,entity_relation
rel:000156,entity:character_崔毅,entity:character_少帝,收留發現,other,其他關係,3,3,3,1,0.95,崔毅在莊後發現少帝與陳留王。,entity_relation
rel:000157,entity:character_崔毅,entity:character_閔貢,引見,other,其他關係,3,3,3,1,0.98,崔毅引閔貢見少帝。,entity_relation
rel:000158,entity:character_閔貢,entity:character_少帝,護送還都,place,地點事件,3,3,3,1,0.98,閔貢請少帝還都。,entity_relation
rel:000159,entity:character_王允,entity:character_少帝,迎駕,other,其他關係,3,3,3,1,0.94,王允等百官接著車駕，簇帝還京。,entity_relation
rel:000160,entity:character_董卓,entity:character_少帝,自稱保駕,other,其他關係,3,3,3,1,0.97,董卓在車駕前稱特來保駕。,entity_relation
rel:000161,entity:character_陳留王,entity:character_董卓,詰問安撫,other,其他關係,3,3,3,1,0.98,陳留王詢問董卓來意並以言撫慰。,entity_relation
rel:000162,entity:character_董卓,entity:strategy_廢帝立陳留王,圖謀,other,其他關係,3,3,3,1,0.99,董卓因陳留王應對得體而有廢立之意。,entity_relation
rel:000163,entity:character_鮑信,entity:character_袁紹,警告,other,其他關係,3,3,3,1,0.98,鮑信對袁紹說董卓必有異心，宜速除之。,entity_relation
rel:000164,entity:character_鮑信,entity:character_王允,警告,other,其他關係,3,3,3,1,0.96,鮑信也向王允說董卓異心之事。,entity_relation
rel:000165,entity:character_鮑信,entity:location_泰山,行軍離去,place,地點事件,3,3,3,1,0.99,鮑信率本部軍兵投泰山。,entity_relation
rel:000166,entity:character_李儒,entity:strategy_廢帝立陳留王,獻策推動,strategy,謀略建議,3,3,3,1,0.99,李儒勸董卓趁朝廷無主行廢立。,entity_relation
rel:000167,entity:character_丁原,entity:character_董卓,反對敵對,other,其他關係,3,3,3,1,0.99,丁原在筵前反對董卓廢立，後率軍挑戰。,entity_relation
rel:000168,entity:character_呂布,entity:character_丁原,義子,other,其他關係,3,3,3,1,1.0,呂布原為丁原義兒。,entity_relation
rel:000169,entity:character_盧植,entity:strategy_廢帝立陳留王,反對,other,其他關係,3,3,3,1,0.98,盧植以少帝無過為由反對廢立。,entity_relation
rel:000170,entity:character_蔡邕,entity:character_董卓,諫阻害人,strategy,謀略建議,3,3,3,1,0.93,蔡邕勸董卓勿先害盧植。,entity_relation
rel:000171,entity:character_王允,entity:character_董卓,緩議,other,其他關係,3,3,3,1,0.97,王允建議廢立另日再議。,entity_relation
rel:000172,entity:character_董卓,entity:army_董卓兵,統領,command,陣營統率,3,3,3,1,0.98,董卓引軍迎戰丁原。,entity_relation
rel:000173,entity:character_呂布,entity:army_董卓兵,擊敗,military,軍事衝突,3,3,3,1,0.98,呂布飛馬殺來，使董卓兵大敗。,entity_relation
rel:000174,entity:character_董卓,entity:character_呂布,欲招攬,other,其他關係,3,3,3,1,0.99,董卓見呂布勇猛，想得到此人。,entity_relation
rel:000175,entity:character_李肅,entity:character_呂布,同鄉故人,other,其他關係,3,3,3,1,0.95,李肅自稱與呂布為故人、同鄉。,entity_relation
rel:000176,entity:character_董卓,entity:character_呂布,贈與利誘,object,物件資源,3,3,3,1,0.98,董卓經李肅將赤兔馬等禮物奉獻給呂布。,entity_relation
rel:000177,entity:character_李肅,entity:character_呂布,勸降,other,其他關係,3,3,3,1,0.99,李肅說服呂布反丁原歸董卓。,entity_relation
rel:000178,entity:character_呂布,entity:character_丁原,背叛殺害,military,軍事衝突,3,3,3,1,1.0,呂布夜入帳殺丁原。,entity_relation
rel:000179,entity:character_李肅,entity:character_董卓,引見呂布,other,其他關係,3,3,3,1,0.99,李肅引呂布見董卓。,entity_relation
rel:000180,entity:character_呂布,entity:character_董卓,投降結義,other,其他關係,3,3,3,1,0.99,呂布投董卓並拜董卓為義父。,entity_relation
rel:000181,entity:character_董卓,entity:character_董旻,封賞,office,官職任命,3,3,3,1,0.99,董卓封其弟董旻為左將軍、鄠侯。,entity_relation
